date,clock,open_eurusd,high_eurusd,low_eurusd,close_eurusd,tikvol_eurusd,open_audusd,high_audusd,low_audusd,close_audusd,tikvol_audusd,open_eurgbp,high_eurgbp,low_eurgbp,close_eurgbp,tikvol_eurgbp,open_gbpusd,high_gbpusd,low_gbpusd,close_gbpusd,tikvol_gbpusd,open_nzdusd,high_nzdusd,low_nzdusd,close_nzdusd,tikvol_nzdusd,open_usdchf,high_usdchf,low_usdchf,close_usdchf,tikvol_usdchf,open_usdjpy,high_usdjpy,low_usdjpy,close_usdjpy,tikvol_usdjpy
2023.10.23,11:00:00,1.05967,1.06098,1.05943,1.06020,6589,0.63036,0.63132,0.63034,0.63059,2775,0.87080,0.87188,0.87041,0.87169,2572,1.21674,1.21841,1.21590,1.21611,12566,0.58190,0.58258,0.58134,0.58150,2099,1.05967,1.06098,1.05943,1.06020,6589,1.05967,1.06098,1.05943,1.06020,6589
2023.10.23,12:00:00,1.06019,1.06142,1.05901,1.05923,5733,0.63059,0.63087,0.62905,0.62914,2642,0.87170,0.87216,0.87149,0.87189,2259,1.21611,1.21717,1.21423,1.21479,10878,0.58150,0.58210,0.58089,0.58092,1909,1.06019,1.06142,1.05901,1.05923,5733,1.06019,1.06142,1.05901,1.05923,5733
2023.10.23,13:00:00,1.05923,1.06036,1.05897,1.06036,4486,0.62914,0.63044,0.62881,0.63029,2483,0.87189,0.87246,0.87169,0.87227,2085,1.21479,1.21573,1.21434,1.21545,9310,0.58093,0.58148,0.58069,0.58141,1829,1.05923,1.06036,1.05897,1.06036,4486,1.05923,1.06036,1.05897,1.06036,4486
2023.10.23,14:00:00,1.06036,1.06092,1.06000,1.06008,7417,0.63029,0.63130,0.63021,0.63095,2268,0.87228,0.87248,0.87102,0.87102,1881,1.21545,1.21740,1.21514,1.21693,8668,0.58142,0.58224,0.58126,0.58192,1719,1.06036,1.06092,1.06000,1.06008,7417,1.06036,1.06092,1.06000,1.06008,7417
2023.10.23,15:00:00,1.06008,1.06183,1.05945,1.06091,11499,0.63095,0.63203,0.63042,0.63104,3484,0.87103,0.87223,0.87102,0.87208,2524,1.21693,1.21827,1.21565,1.21635,12048,0.58192,0.58287,0.58145,0.58188,2870,1.06008,1.06183,1.05945,1.06091,11499,1.06008,1.06183,1.05945,1.06091,11499
2023.10.23,16:00:00,1.06091,1.06126,1.05901,1.06045,12362,0.63105,0.63184,0.63015,0.63172,4870,0.87209,0.87209,0.87097,0.87109,2780,1.21636,1.21735,1.21493,1.21728,14545,0.58187,0.58268,0.58127,0.58260,3450,1.06091,1.06126,1.05901,1.06045,12362,1.06091,1.06126,1.05901,1.06045,12362
2023.10.23,17:00:00,1.06045,1.06313,1.06037,1.06276,16102,0.63172,0.63304,0.63156,0.63226,5824,0.87109,0.87136,0.86971,0.87052,3817,1.21728,1.22141,1.21710,1.22072,16593,0.58260,0.58408,0.58234,0.58333,4015,1.06045,1.06313,1.06037,1.06276,16102,1.06045,1.06313,1.06037,1.06276,16102
2023.10.23,18:00:00,1.06276,1.06461,1.06270,1.06443,10974,0.63225,0.63372,0.63214,0.63347,3607,0.87051,0.87064,0.86987,0.87014,2779,1.22072,1.22365,1.22051,1.22316,12010,0.58332,0.58443,0.58322,0.58411,2654,1.06276,1.06461,1.06270,1.06443,10974,1.06276,1.06461,1.06270,1.06443,10974
2023.10.23,19:00:00,1.06443,1.06642,1.06401,1.06637,10004,0.63348,0.63431,0.63315,0.63431,2677,0.87013,0.87174,0.87000,0.87159,1979,1.22315,1.22331,1.22196,1.22328,8825,0.58412,0.58509,0.58402,0.58509,2066,1.06443,1.06642,1.06401,1.06637,10004,1.06443,1.06642,1.06401,1.06637,10004
2023.10.23,20:00:00,1.06637,1.06722,1.06587,1.06675,9947,0.63430,0.63479,0.63387,0.63419,2382,0.87158,0.87192,0.87085,0.87102,1689,1.22328,1.22526,1.22267,1.22451,8114,0.58509,0.58570,0.58475,0.58524,2212,1.06637,1.06722,1.06587,1.06675,9947,1.06637,1.06722,1.06587,1.06675,9947
2023.10.23,21:00:00,1.06675,1.06771,1.06645,1.06731,7668,0.63419,0.63455,0.63376,0.63430,2283,0.87103,0.87118,0.87069,0.87087,1552,1.22453,1.22579,1.22432,1.22544,6570,0.58524,0.58550,0.58488,0.58526,1729,1.06675,1.06771,1.06645,1.06731,7668,1.06675,1.06771,1.06645,1.06731,7668
2023.10.23,22:00:00,1.06731,1.06741,1.06592,1.06649,7718,0.63430,0.63434,0.63290,0.63314,2854,0.87087,0.87109,0.87075,0.87091,1738,1.22544,1.22546,1.22364,1.22436,7404,0.58526,0.58531,0.58461,0.58474,2376,1.06731,1.06741,1.06592,1.06649,7718,1.06731,1.06741,1.06592,1.06649,7718
